stock_locate,tracking_number,timestamp,shares,cross_price,match_number,cross_type
5374,1,0 days 09:30:00.625209860,0,0,115765,0
4032,1,0 days 09:30:00.625406695,0,0,115778,0
2127,1,0 days 09:30:00.625602531,0,0,115781,0
1871,1,0 days 09:30:00.625840722,481,180900,115798,0
8750,1,0 days 09:30:00.626098038,0,0,115802,0
3128,1,0 days 09:30:00.626309764,0,0,115803,0
1782,1,0 days 09:30:00.626578567,0,0,115818,0
8407,1,0 days 09:30:00.626919934,3246,167000,115837,0
219,1,0 days 09:30:00.627079883,0,0,115869,0
5096,1,0 days 09:30:00.627254096,0,0,115901,0
6854,1,0 days 09:30:00.627470592,0,0,115978,0
4178,1,0 days 09:30:00.627632341,0,0,116070,0
3471,1,0 days 09:30:00.627901792,0,0,116182,0
8318,1,0 days 09:30:00.628087683,0,0,116309,0
2006,1,0 days 09:30:00.628382458,0,0,116476,0
8469,1,0 days 09:30:00.628727863,0,0,116688,0
2330,1,0 days 09:30:00.629036085,0,0,116855,0
6772,1,0 days 09:30:00.629547446,4387,138000,117070,0
1303,2,0 days 09:30:00.629980094,1830,75900,117193,0
3924,1,0 days 09:30:00.630264552,0,0,117297,0
7067,1,0 days 09:30:00.630497689,0,0,117444,0
2088,1,0 days 09:30:00.630732460,0,0,117579,0
3917,1,0 days 09:30:00.631045452,0,0,117775,0
913,2,0 days 09:30:00.631395161,1961,258000,117929,0
2641,1,0 days 09:30:00.631667517,0,0,118067,0
4850,1,0 days 09:30:00.632122307,1410,148600,118260,0
351,1,0 days 09:30:00.632434424,0,0,118386,0
1482,1,0 days 09:30:00.632745438,0,0,118582,0
157,1,0 days 09:30:00.632977610,0,0,118681,0
5022,1,0 days 09:30:00.633260624,0,0,118836,0
711,1,0 days 09:30:00.633526433,0,0,118987,0
7702,2,0 days 09:30:00.633779786,26,360800,119085,0
6553,3,0 days 09:30:00.634135999,2961,154800,119245,0
3002,1,0 days 09:30:00.634486119,0,0,119350,0
8562,1,0 days 09:30:00.634744574,0,0,119467,0
2188,1,0 days 09:30:00.634986171,0,0,119599,0
3346,1,0 days 09:30:00.635188026,0,0,119687,0
2082,1,0 days 09:30:00.635457223,0,0,119844,0
5211,1,0 days 09:30:00.635727025,0,0,119984,0
6794,1,0 days 09:30:00.635957562,0,0,120109,0
6422,1,0 days 09:30:00.636388568,3987,98000,120376,0
322,1,0 days 09:30:00.636692420,0,0,120453,0
4760,1,0 days 09:30:00.636948943,0,0,120585,0
